Book_Title,Author_Name,Author_Url,Description,Rating,Rating_Counts,Reviews_Counts,Num_Pages,Book_Format,Time_publish,Publisher,ISBN,Language,Genres,Book_Url,Book_ID
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,https://www.goodreads.com/author/show/509.Brian_Greene,"From Brian Greene, one of the world’s leading physicists and author the Pulitzer Prize finalist The Elegant Universe, comes a grand tour of the universe that makes us look at reality in a completely different way.Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Could the universe exist without space and time? Can we travel to the past? Greene has set himself a daunting task: to explain non-intuitive, mathematical concepts like String Theory, the Heisenberg Uncertainty Principle, and Inflationary Cosmology with analogies drawn from common experience. From Newton’s unchanging realm in which space and time are absolute, to Einstein’s fluid conception of spacetime, to quantum mechanics’ entangled arena where vastly distant objects can instantaneously coordinate their behavior, Greene takes us all, regardless of our scientific backgrounds, on an irresistible and revelatory journey to the new layers of reality that modern physics has discovered lying just beneath the surface of our everyday world.",4.11,34907.0,1057.0,569.0,Paperback,2004,Alfred Knopf,0965900584,English,"{""Science"": 89.0, ""Nonfiction"": 938.0, ""Space"": 59.0, ""Philosophy"": 50.0, ""Audiobook"": 25.0, ""History"": 24.0, ""Physics"": 16.0}",https://www.goodreads.com/book/show/22435.The_Fabric_of_the_Cosmos,10
Tuesdays with Morrie,Mitch Albom,https://www.goodreads.com/author/show/2331.Mitch_Albom,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live.",4.11,795382.0,26497.0,210.0,Paperback,2000,Warner,0751529818,English,"{""Nonfiction"": 4597.0, ""Autobiography"": 1600.0, ""Biography"": 1161.0, ""Inspirational"": 858.0, ""Classics"": 680.0, ""Philosophy"": 616.0, ""Self Help"": 475.0, ""Contemporary"": 427.0, ""Adult"": 359.0, ""Biography Memoir"": 316.0}",https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,11
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,https://www.goodreads.com/author/show/10538.Carl_Sagan,"How can we make intelligent decisions about our increasingly technology-driven lives if we don’t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of our democratic institutions.Casting a wide net through history and culture, Sagan examines and authoritatively debunks such celebrated fallacies of the past as witchcraft, faith healing, demons, and UFOs. And yet, disturbingly, in today's so-called information age, pseudoscience is burgeoning with stories of alien abduction, channeling past lives, and communal hallucinations commanding growing attention and respect. As Sagan demonstrates with lucid eloquence, the siren song of unreason is not just a cultural wrong turn but a dangerous plunge into darkness that threatens our most basic freedoms.",4.27,60238.0,2860.0,459.0,Paperback,February 25th 1997,Ballantine Books,0345409469,English,"{""Science"": 84.0, ""Nonfiction"": 2019.0, ""Philosophy"": 158.0, ""Religion"": 132.0, ""History"": 164.0, ""Psychology"": 81.0}",https://www.goodreads.com/book/show/17349.The_Demon_Haunted_World,12
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,https://www.goodreads.com/author/show/19637490.Caroline_Criado_P_rez,"Imagine a world where your phone is too big for your hand, where your doctor prescribes a drug that is wrong for your body, where in a car accident you are 47% more likely to be seriously injured, where every week the countless hours of work you do are not recognised or valued.If any of this sounds familiar, chances are that you're a woman.Invisible Women shows us how, in a world largely built for and by men, we are systematically ignoring half the population. It exposes the gender data gap – a gap in our knowledge that is at the root of perpetual, systemic discrimination against women, and that has created a pervasive but invisible bias with a profound effect on women’s lives.From government policy and medical research, to technology, workplaces, urban planning and the media, Invisible Women reveals the biased data that excludes women.Award-winning campaigner and writer Caroline Criado Perez brings together for the first time an impressive range of case studies, stories and new research from across the world that illustrate the hidden ways in which women are forgotten, and the impact this has on their health and well-being. In making the case for change, this powerful and provocative book will make you see the world anew",4.41,33882.0,5300.0,411.0,Hardcover,March 12th 2019,Harry N. Abrams,1419729071,English,"{""Nonfiction"": 3071.0, ""Feminism"": 1365.0, ""Science"": 77.0, ""Audiobook"": 280.0, ""Politics"": 241.0, ""Womens"": 147.0, ""Sociology"": 142.0, ""Gender"": 111.0, ""Social Movements"": 81.0}",https://www.goodreads.com/book/show/41104077-invisible-women,13
At Home: A Short History of Private Life,Bill Bryson,https://www.goodreads.com/author/show/7.Bill_Bryson,"“Houses aren’t refuges from history. They are where history ends up.”Bill Bryson and his family live in a Victorian parsonage in a part of England where nothing of any great significance has happened since the Romans decamped. Yet one day, he began to consider how very little he knew about the ordinary things of life as he found it in that comfortable home. To remedy this, he formed the idea of journeying about his house from room to room to “write a history of the world without leaving home.” The bathroom provides the occasion for a history of hygiene; the bedroom, sex, death, and sleep; the kitchen, nutrition and the spice trade; and so on, as Bryson shows how each has figured in the evolution of private life. Whatever happens in the world, he demonstrates, ends up in our house, in the paint and the pipes and the pillows and every item of furniture.(front flap)",3.97,81810.0,6382.0,497.0,Hardcover,October 5th 2010,Doubleday,0767919386,English,"{""Nonfiction"": 3024.0, ""History"": 2231.0, ""Audiobook"": 245.0, ""Humor"": 220.0, ""Historical"": 137.0, ""Science"": 132.0, ""Architecture"": 124.0, ""Sociology"": 74.0, ""European Literature"": 73.0, ""Cultural"": 69.0}",https://www.goodreads.com/book/show/7507825-at-home,14
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson,https://www.goodreads.com/author/show/1563.Steven_Johnson,"From Steven Johnson, the dynamic thinker routinely compared to James Gleick, Dava Sobel, and Malcolm Gladwell, The Ghost Map is a riveting page-turner about a real-life historical hero, Dr. John Snow. It's the summer of 1854, and London is just emerging as one of the first modern cities in the world. But lacking the infrastructure—garbage removal, clean water, sewers—necessary to support its rapidly expanding population, the city has become the perfect breeding ground for a terrifying disease no one knows how to cure. As the cholera outbreak takes hold, a physician and a local curate are spurred to action—and ultimately solve the most pressing medical riddle of their time. In a triumph of multidisciplinary thinking, Johnson illuminates the intertwined histories and inter-connectedness of the spread of disease, contagion theory, the rise of cities, and the nature of scientific inquiry, offering both a riveting history and a powerful explanation of how it has shaped the world we live in.",3.88,43150.0,3916.0,299.0,Hardcover,November 1st 2006,Riverhead Books,1594489254,English,"{""History"": 2232.0, ""Nonfiction"": 2191.0, ""Science"": 1116.0, ""Health"": 124.0, ""Medical"": 192.0, ""Historical"": 158.0, ""Audiobook"": 133.0, ""European Literature"": 104.0, ""Illness"": 65.0}",https://www.goodreads.com/book/show/36086.The_Ghost_Map,15
Caste: The Origins of Our Discontents,Isabel Wilkerson,https://www.goodreads.com/author/show/3567958.Isabel_Wilkerson,"The Pulitzer Prize–winning, bestselling author of The Warmth of Other Suns examines the unspoken caste system that has shaped America and shows how our lives today are still defined by a hierarchy of human divisions.“As we go about our daily lives, caste is the wordless usher in a darkened theater, flashlight cast down in the aisles, guiding us to our assigned seats for a performance. The hierarchy of caste is not about feelings or morality. It is about power—which groups have it and which do not.”In this brilliant book, Isabel Wilkerson gives us a masterful portrait of an unseen phenomenon in America as she explores, through an immersive, deeply researched narrative and stories about real people, how America today and throughout its history has been shaped by a hidden caste system, a rigid hierarchy of human rankings.Beyond race, class, or other factors, there is a powerful caste system that influences people’s lives and behavior and the nation’s fate. Linking the caste systems of America, India, and Nazi Germany, Wilkerson explores eight pillars that underlie caste systems across civilizations, including divine will, bloodlines, stigma, and more. Using riveting stories about people—including Martin Luther King, Jr., baseball’s Satchel Paige, a single father and his toddler son, Wilkerson herself, and many others—she shows the ways that the insidious undertow of caste is experienced every day. She documents how the Nazis studied the racial systems in America to plan their out-cast of the Jews; she discusses why the cruel logic of caste requires that there be a bottom rung for those in the middle to measure themselves against; she writes about the surprising health costs of caste, in depression and life expectancy, and the effects of this hierarchy on our culture and politics. Finally, she points forward to ways America can move beyond the artificial and destructive separations of human divisions, toward hope in our common humanity.",4.59,24267.0,4444.0,496.0,Hardcover,August 4th 2020,Random House,0593230256,English,"{""Nonfiction"": 1663.0, ""History"": 917.0, ""Politics"": 337.0, ""Race"": 87.0, ""Social Movements"": 202.0, ""Sociology"": 187.0, ""Audiobook"": 141.0, ""Cultural"": 79.0, ""North American Hi..."": 72.0}",https://www.goodreads.com/book/show/51152447-caste,16
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,"Mary Shelley's seminal novel of the scientist whose creation becomes a monsterThis edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introduction and suggestions for further reading by author and Shelley expert Charlotte Gordon, literary excerpts and reviews selected by Gordon and a chronology and essay by preeminent Shelley scholar Charles E. Robinson.",3.81,1184027.0,34686.0,288.0,Paperback,March 8th 2018,Penguin Classics,0143131842,English,"{""Classics"": 28322.0, ""Fiction"": 9931.0, ""Horror"": 9469.0, ""Science Fiction"": 4838.0, ""Gothic"": 2428.0, ""Fantasy"": 2156.0, ""Academic"": 1737.0, ""Literature"": 824.0, ""Novels"": 962.0}",https://www.goodreads.com/book/show/35031085-frankenstein,17
The Shock of the New,Robert Hughes,https://www.goodreads.com/author/show/48890.Robert_Hughes,"A beautifully illustrated hundred-year history of modern art, from cubism to pop and avant-garde. More than 250 color photos.",3.71,31102.0,130.0,444.0,Paperback,April 1st 2004,Thames & Hudson,0500275823,English,"{""Art"": 9.0, ""Nonfiction"": 96.0, ""History"": 57.0, ""Reference"": 11.0, ""Design"": 10.0, ""Philosophy"": 10.0, ""Cultural"": 8.0, ""Criticism"": 7.0}",https://www.goodreads.com/book/show/542639.The_Shock_of_the_New,18
"Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",Carol Tavris,https://www.goodreads.com/author/show/58990.Carol_Tavris,"Why do people dodge responsibility when things fall apart? Why the parade of public figures unable to own up when they screw up? Why the endless marital quarrels over who is right? Why can we see hypocrisy in others but not in ourselves? Are we all liars? Or do we really believe the stories we tell? Renowned social psychologists Carol Tavris and Elliot Aronson take a compelling look into how the brain is wired for self-justification. When we make mistakes, we must calm the cognitive dissonance that jars our feelings of self-worth. And so we create fictions that absolve us of responsibility, restoring our belief that we are smart, moral, and right -- a belief that often keeps us on a course that is dumb, immoral, and wrong. Backed by years of research and delivered in lively, energetic prose, Mistakes Were Made (But Not by Me) offers a fascinating explanation of self-deception -- how it works, the harm it can cause, and how we can overcome it.",4.03,22559.0,1130.0,304.0,Hardcover,May 7th 2007,Houghton Mifflin Harcourt,0151010986,English,"{""Psychology"": 938.0, ""Nonfiction"": 642.0, ""Science"": 193.0, ""Self Help"": 54.0, ""Sociology"": 73.0, ""Business"": 58.0, ""Philosophy"": 37.0, ""Leadership"": 27.0, ""Social Science"": 22.0}",https://www.goodreads.com/book/show/522525.Mistakes_Were_Made_But_Not_by_Me_,19
The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/author/show/3565.Oscar_Wilde,"Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.",4.08,986308.0,31631.0,272.0,Paperback,June 1st 2004,Random House: Modern Library,,English,"{""Classics"": 627.0, ""Fiction"": 10007.0, ""Horror"": 3056.0, ""Fantasy"": 2251.0, ""Literature"": 852.0, ""Gothic"": 1539.0, ""Novels"": 966.0, ""LGBT"": 638.0}",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,20
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,https://www.goodreads.com/author/show/1439.Malcolm_Gladwell,"In his #1 bestselling books The Tipping Point, Blink, and Outliers, Malcolm Gladwell has explored the ways we understand and change our world. Now he looks at the complex and surprising ways the weak can defeat the strong, the small can match up against the giant, and how our goals (often culturally determined) can make a huge difference in our ultimate sense of success. Drawing upon examples from the world of business, sports, culture, cutting-edge psychology, and an array of unforgettable characters around the world, David and Goliath is in many ways the most practical and provocative book Malcolm Gladwell has ever written.",3.95,150621.0,9750.0,305.0,Hardcover,October 1st 2013,"Little, Brown and Company",0316204366,English,"{""Nonfiction"": 3288.0, ""Psychology"": 1045.0, ""Business"": 668.0, ""Audiobook"": 358.0, ""Self Help"": 134.0, ""Sociology"": 282.0, ""Science"": 180.0, ""History"": 165.0, ""Leadership"": 159.0}",https://www.goodreads.com/book/show/15751404-david-and-goliath,21
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,https://www.goodreads.com/author/show/65483.Richard_H_Thaler," From the winner of the 2017 Nobel Prize in Economics, Richard H. Thaler, and Cass R. Sunstein: a revelatory look at how we make decisionsNew York Times bestsellerNamed a Best Book of the Year by The Economist and the Financial Times Every day we make choices—about what to buy or eat, about financial investments or our children’s health and education, even about the causes we champion or the planet itself. Unfortunately, we often choose poorly. Nudge is about how we make these choices and how we can make better ones. Using dozens of eye-opening examples and drawing on decades of behavioral science research, Nobel Prize winner Richard H. Thaler and Harvard Law School professor Cass R. Sunstein show that no choice is ever presented to us in a neutral way, and that we are all susceptible to biases that can lead us to make bad decisions. But by knowing how people think, we can use sensible “choice architecture” to nudge people toward the best decisions for ourselves, our families, and our society, without restricting our freedom of choice.",3.84,64074.0,3161.0,314.0,Paperback,February 24th 2009,Penguin Books,014311526X,English,"{""Nonfiction"": 1462.0, ""Psychology"": 1154.0, ""Economics"": 897.0, ""Business"": 554.0, ""Self Help"": 116.0, ""Science"": 193.0, ""Politics"": 150.0, ""Sociology"": 91.0, ""Social Science"": 82.0}",https://www.goodreads.com/book/show/3450744-nudge,22
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,https://www.goodreads.com/author/show/55727.Jonathan_Haidt,"In his widely praised book, award-winning psychologist Jonathan Haidt examines the world’s philosophical wisdom through the lens of psychological science, showing how a deeper understanding of enduring maxims-like Do unto others as you would have others do unto you, or What doesn’t kill you makes you stronger-can enrich and even transform our lives.",4.11,26742.0,1654.0,297.0,Paperback,December 26th 2006,Basic Books,0465028020,English,"{""Psychology"": 1215.0, ""Nonfiction"": 785.0, ""Philosophy"": 587.0, ""Self Help"": 88.0, ""Science"": 192.0, ""Audiobook"": 59.0, ""Spirituality"": 58.0, ""Religion"": 38.0, ""Business"": 32.0}",https://www.goodreads.com/book/show/96884.The_Happiness_Hypothesis,23
Chaos: Making a New Science,James Gleick,https://www.goodreads.com/author/show/10401.James_Gleick,"A work of popular science in the tradition of Stephen Hawking and Carl Sagan, this 20th-anniversary edition of James Gleick’s groundbreaking bestseller Chaos introduces a whole new readership to chaos theory, one of the most significant waves of scientific knowledge in our time. From Edward Lorenz’s discovery of the Butterfly Effect, to Mitchell Feigenbaum’s calculation of a universal constant, to Benoit Mandelbrot’s concept of fractals, which created a new geometry of nature, Gleick’s engaging narrative focuses on the key figures whose genius converged to chart an innovative direction for science. In Chaos, Gleick makes the story of chaos theory not only fascinating but also accessible to beginners, and opens our eyes to a surprising new view of the universe.",4.02,32172.0,1087.0,352.0,Paperback,December 1st 1988,Penguin Group,0140092501,English,"{""Science"": 101.0, ""Nonfiction"": 844.0, ""Philosophy"": 80.0, ""History"": 78.0, ""Unfinished"": 23.0, ""Audiobook"": 19.0, ""Psychology"": 17.0}",https://www.goodreads.com/book/show/64582.Chaos,24
